,제목,링크,시간,코인 이름
17,"환인제약, 다파글리플로진 성분 포사린정 출시",https://www.medicaltimes.com/Main/News/NewsView.html?ID=1153020,2주 전,리플
18,리플 소송 결과 임박…미리 움직인 시장,https://www.coindeskkorea.com/news/articleView.html?idxno=90769,3주 전,리플
19,"리플 vs SEC 판결 임박, 다음주 XRP 급등 볼 수 있나?--크립토 뉴스 플래쉬",https://www.blockmedia.co.kr/archives/312599,3일 전,리플
20,"침체 속 코인시장서 가격 상승 하는 '리플', 이유는?",http://m.ddaily.co.kr/m/m_article/?no=260011,1개월 전,리플
21,"리플, 지난 4주 간 상승랠리 원동력으로 한국 꼽혀",https://www.tokenpost.kr/article-129013,2주 전,리플
22,"리플 어떻게 될까? 침묵한 게리 겐슬러, 유럽'발' 쇼크",https://www.econovill.com/news/articleView.html?idxno=609578,3일 전,리플
23,"리플 CTO “완벽한 시점은 없어, 리스크 관리 중요”",https://www.blockmedia.co.kr/archives/312451,4일 전,리플
24,"몬테네그로 중앙은행, 리플 손잡고 CBDC 개발 착수",https://www.coindeskkorea.com/news/articleView.html?idxno=90945,2주 전,리플
25,"비트코인 대규모 청산 뒤 반등--알트코인 회복, 리플(XRP) 판결 임박 기대로 상승",https://www.blockmedia.co.kr/archives/312591,3일 전,리플
26,"[코인리더스] 리플 변동성 확대 우려...""SEC 소송 끝나기 전 XRP 매도는 최악의 선택""",https://www.coinreaders.com/68998,1일 전,리플
27,"비트코인 3700만원, 리플 626원...상황은? < 블록체인 < IT/스타트업 < 기사본문",https://www.econovill.com/news/articleView.html?idxno=609577,3일 전,리플
28,바이낸스‧리플 소송에 쏠리는 눈…코인시장 '규제 변곡점',https://www.nocutnews.co.kr/news/5919889,3주 전,리플
29,"리플 vs SEC, ‘공정한 고지’ 두고 입씨름",https://www.coindeskkorea.com/news/articleView.html?idxno=90982,1주 전,리플
30,"리플 vs SEC, ‘공정한 고지’ 두고 입씨름",https://www.coindeskkorea.com/news/articleView.html?idxno=90982,1주 전,리플
31,바이낸스‧리플 소송에 쏠리는 눈…코인시장 '규제 변곡점',https://www.nocutnews.co.kr/news/5919889,3주 전,리플
32,"친 리플 美 변호사, 2018년 이전 리플 거래만 '증권' 판결 가능성 제기",https://www.tokenpost.kr/article-128768,2주 전,리플
33,"친리플 미 변호사 ""최근 판사 발언 등 고려했을때 SEC 패소 가능성 높아""",https://www.tokenpost.kr/article-130138,6일 전,리플
34,"[저녁브리핑] 리플보다 테라-루나, 코인상장 뒷돈",https://www.coindeskkorea.com/news/articleView.html?idxno=90871,3주 전,리플
35,"리플, 기업 전용 유동성 허브 솔루션에 XRP 제외",https://www.tokenpost.kr/article-129548,1주 전,리플
36,"리플 ""SEC와 소송 영향 미미…한국 시장 확대""",https://www.digitaltoday.co.kr/news/articleView.html?idxno=471963,1개월 전,리플
37,"친 리플 美 변호사 ""SEC 패소 가능성 높아""...스테이블 코인 실명 인증은 반대",https://www.tokenpost.kr/article-130148,6일 전,리플
38,"크레스트(CREST), 카툰풍 TPS 게임 '리플 이펙트' 27일 스팀∙스토브 동시 출시",http://gamefocus.co.kr/detail.php?number=140605,7시간 전,리플
39,리플 '승소' 기대감에 20% 넘게 급등...4개월만 최고치,https://www.newspim.com/news/view/20230323000004,1개월 전,리플
